data	avg_judgment_no	kri_full	kri_annotator7,mean_others	kri_annotator6,mean_others	kri_annotator6,annotator7	kri_annotator5,mean_others	kri_annotator5,annotator7	kri_annotator5,annotator6	kri_annotator4,mean_others	kri_annotator4,annotator7	kri_annotator4,annotator6	kri_annotator4,annotator5	kri_annotator3,mean_others	kri_annotator3,annotator7	kri_annotator3,annotator6	kri_annotator3,annotator5	kri_annotator3,annotator4	kri_annotator2,mean_others	kri_annotator2,annotator7	kri_annotator2,annotator6	kri_annotator2,annotator5	kri_annotator2,annotator4	kri_annotator2,annotator3	kri_annotator1,mean_others	kri_annotator1,annotator7	kri_annotator1,annotator6	kri_annotator1,annotator5	kri_annotator1,annotator4	kri_annotator1,annotator3	kri_annotator1,annotator2	kri_annotator0,mean_others	kri_annotator0,annotator7	kri_annotator0,annotator6	kri_annotator0,annotator5	kri_annotator0,annotator4	kri_annotator0,annotator3	kri_annotator0,annotator2	kri_annotator0,annotator1	kri2_full	kri2_annotator6,annotator7	kri2_annotator5,annotator7	kri2_annotator5,annotator6	kri2_annotator4,annotator7	kri2_annotator4,annotator6	kri2_annotator4,annotator5	kri2_annotator3,annotator7	kri2_annotator3,annotator6	kri2_annotator3,annotator5	kri2_annotator3,annotator4	kri2_annotator2,annotator7	kri2_annotator2,annotator6	kri2_annotator2,annotator5	kri2_annotator2,annotator4	kri2_annotator2,annotator3	kri2_annotator1,annotator7	kri2_annotator1,annotator6	kri2_annotator1,annotator5	kri2_annotator1,annotator4	kri2_annotator1,annotator3	kri2_annotator1,annotator2	kri2_annotator0,annotator7	kri2_annotator0,annotator6	kri2_annotator0,annotator5	kri2_annotator0,annotator4	kri2_annotator0,annotator3	kri2_annotator0,annotator2	kri2_annotator0,annotator1	spr_mean_weighted	spr_mean	spr_annotator7,mean_others	spr_annotator6,mean_others	spr_annotator6,annotator7	spr_annotator5,mean_others	spr_annotator5,annotator7	spr_annotator5,annotator6	spr_annotator4,mean_others	spr_annotator4,annotator7	spr_annotator4,annotator6	spr_annotator4,annotator5	spr_annotator3,mean_others	spr_annotator3,annotator7	spr_annotator3,annotator6	spr_annotator3,annotator5	spr_annotator3,annotator4	spr_annotator2,mean_others	spr_annotator2,annotator7	spr_annotator2,annotator6	spr_annotator2,annotator5	spr_annotator2,annotator4	spr_annotator2,annotator3	spr_annotator1,mean_others	spr_annotator1,annotator7	spr_annotator1,annotator6	spr_annotator1,annotator5	spr_annotator1,annotator4	spr_annotator1,annotator3	spr_annotator1,annotator2	spr_annotator0,mean_others	spr_annotator0,annotator7	spr_annotator0,annotator6	spr_annotator0,annotator5	spr_annotator0,annotator4	spr_annotator0,annotator3	spr_annotator0,annotator2	spr_annotator0,annotator1	ham_mean_weighted	ham_mean	ham_annotator7,mean_others	ham_annotator6,mean_others	ham_annotator6,annotator7	ham_annotator5,mean_others	ham_annotator5,annotator7	ham_annotator5,annotator6	ham_annotator4,mean_others	ham_annotator4,annotator7	ham_annotator4,annotator6	ham_annotator4,annotator5	ham_annotator3,mean_others	ham_annotator3,annotator7	ham_annotator3,annotator6	ham_annotator3,annotator5	ham_annotator3,annotator4	ham_annotator2,mean_others	ham_annotator2,annotator7	ham_annotator2,annotator6	ham_annotator2,annotator5	ham_annotator2,annotator4	ham_annotator2,annotator3	ham_annotator1,mean_others	ham_annotator1,annotator7	ham_annotator1,annotator6	ham_annotator1,annotator5	ham_annotator1,annotator4	ham_annotator1,annotator3	ham_annotator1,annotator2	ham_annotator0,mean_others	ham_annotator0,annotator7	ham_annotator0,annotator6	ham_annotator0,annotator5	ham_annotator0,annotator4	ham_annotator0,annotator3	ham_annotator0,annotator2	ham_annotator0,annotator1	overlap_annotator6,annotator7	overlap_annotator5,annotator7	overlap_annotator5,annotator6	overlap_annotator4,annotator7	overlap_annotator4,annotator6	overlap_annotator4,annotator5	overlap_annotator3,annotator7	overlap_annotator3,annotator6	overlap_annotator3,annotator5	overlap_annotator3,annotator4	overlap_annotator2,annotator7	overlap_annotator2,annotator6	overlap_annotator2,annotator5	overlap_annotator2,annotator4	overlap_annotator2,annotator3	overlap_annotator1,annotator7	overlap_annotator1,annotator6	overlap_annotator1,annotator5	overlap_annotator1,annotator4	overlap_annotator1,annotator3	overlap_annotator1,annotator2	overlap_annotator0,annotator7	overlap_annotator0,annotator6	overlap_annotator0,annotator5	overlap_annotator0,annotator4	overlap_annotator0,annotator3	overlap_annotator0,annotator2	overlap_annotator0,annotator1	judgments_annotator0	judgments_annotator1	judgments_annotator2	judgments_annotator3	judgments_annotator4	judgments_annotator5	judgments_annotator6	judgments_annotator7	judgments_total	judgment_1.0	judgment_2.0	judgment_3.0	judgment_4.0	judgment_0.0
full	1.105070276795723	0.5773712345413963	0.3510124674211833	0.41279901036482214	0.2754682723665567	0.5259669317094477	0.06942349698356565	0.7496528518135409	0.4565373227443599	0.36265203095147636	0.32521109456557196	0.43624469739605076	0.6338975560843124	nan	nan	nan	nan	0.5647352955281071	0.5012991452991453	-0.06000811750639001	0.11424603174603165	0.34650808703440283	0.7544531851688855	0.625094220101901	0.3908697070486217	0.5775832682263572	0.7198173439928937	0.5668636042313462	0.5743021696877011	0.5624179805957201	0.7252133273746799	0.2532432432432432	0.5702729376746063	0.5028578232912597	0.495803800535488	0.7219593202883625	0.8111828236449219	0.7138974544659477	0.5834955598567164	0.4298625030077312	0.44039377280773095	0.7960582711831168	0.5184228983104533	0.3449110487571059	0.6019560048359032	nan	nan	nan	nan	0.6043178575762094	-0.21855665399166857	0.3305049378836151	0.4784544906135052	0.7667653009187506	0.5998185680010587	0.5880719617392767	0.7958032773146433	0.6693844371528681	0.5559968229328844	0.5413875205325575	0.46855925813101773	0.5293337150588991	0.6340239009445829	0.6050698177654443	0.6361028431555121	0.7544525285420364	0.6819722172527802	0.6377504118764958	0.5628208536126885	0.36333802907674523	0.5045095449386624	0.34194336915245527	0.552216998522521	0.04874401913875599	0.7600842080964245	0.4839697590691114	0.35830483776437544	0.4973354994129218	0.5236769473407489	0.6342751916146132	nan	nan	nan	nan	0.6621421149782691	0.5040346998046777	0.5099863199170207	0.3106303720986978	0.4059115925712558	0.8207202320805824	0.6813358788979217	0.41916278293880743	0.6244713865445003	0.7213430923778383	0.6220442685073361	0.6231040350589182	0.6716576666542777	0.785111326516089	0.3335859269645295	0.7293392072663955	0.6968262185797204	0.5406240033821951	0.8233465377833253	0.8138948373446822	0.8069284259240836	0.5209044368600683	0.5187693184103049	nan	nan	0.4285714285714286	nan	0.3913043478260869	0.5365853658536586	nan	0.5633802816901409	0.3731343283582089	0.5581395348837209	0.49514563106796117	nan	nan	nan	nan	nan	0.7333333333333334	0.24489795918367352	0.5	0.5777777777777777	0.55	nan	0.5584415584415585	0.42038216560509556	0.6333333333333333	0.5493827160493827	0.4571428571428572	0.5053191489361701	nan	0.55	0.4722222222222222	0.3846153846153846	0.6153846153846154	0.55	0.7380952380952381	0.5590200445434299	77	23	41	71	134	43	0	0	0	0	15	49	20	45	20	77	157	60	162	70	564	20	36	13	52	20	126	449	2516	12557	4006	501	2183	687	2034	1147	25633	2606	5776	6456	9306	1487
abspalten	1.0833333333333333	0.676036587135725	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.8587001234060058	nan	nan	nan	nan	nan	0.6859995611147685	nan	nan	nan	nan	nan	0.8937062937062937	0.5208333333333333	nan	nan	nan	nan	nan	0.0	0.5406060606060605	0.747451988102301	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.9179663375688618	nan	nan	nan	nan	nan	0.5327178712639409	0.636962885943533	0.7182053074625243	0.7265367876556104	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.8806650570238264	nan	nan	nan	nan	nan	0.7006570699495793	nan	nan	nan	nan	nan	0.9014978717104176	0.5099206349206349	nan	nan	nan	nan	nan	nan	0.5515757036008032	0.7272727272727273	0.5121212121212121	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.8181818181818181	nan	nan	nan	nan	nan	0.7619047619047619	nan	nan	nan	nan	nan	0.9	0.5833333333333333	nan	nan	nan	nan	nan	0.0	0.6363636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	1	11	49	165	72	0	0	0	0	0	286	0	131	92	62	1
Ächtung	1.0630372492836677	0.8556397306397306	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.9290740219532789	nan	nan	nan	nan	nan	0.8447817836812144	nan	nan	nan	nan	nan	0.9105882352941177	0.7619047619047619	nan	nan	nan	nan	nan	nan	0.7346938775510203	0.8957277901340491	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.928666967947448	nan	nan	nan	nan	nan	1.0	0.8447946954693486	0.8828823958520783	0.8629500364742665	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.9810708435174291	nan	nan	nan	nan	nan	0.8576578123452984	nan	nan	nan	nan	nan	0.975900072948533	0.7745966692414833	nan	nan	nan	nan	nan	nan	0.75	0.7777777777777779	0.8523809523809524	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.7272727272727273	nan	nan	nan	nan	nan	0.7647058823529411	nan	nan	nan	nan	nan	0.7	0.875	nan	nan	nan	nan	nan	1.0	0.8571428571428572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	1	7	40	245	86	0	0	0	0	0	371	0	31	151	149	40
angeregt	1.094488188976378	0.7754761904761904	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.738006617038875	nan	nan	nan	nan	nan	0.7571522680218332	nan	nan	nan	nan	nan	0.6906531932573599	0.8414722012367442	nan	nan	nan	nan	nan	1.0	0.8183391003460208	0.8233186594562667	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.7820538258419719	nan	nan	nan	nan	nan	1.0	0.8486247423560102	0.7866216554559999	0.8475243199981061	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.7391663779878679	nan	nan	nan	nan	nan	0.777439655019423	nan	nan	nan	nan	nan	0.6919823789434122	0.8671613239132521	nan	nan	nan	nan	nan	0.9999999999999999	0.8505905810509062	0.7428571428571429	0.8186274509803922	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.7777777777777778	nan	nan	nan	nan	nan	0.7272727272727273	nan	nan	nan	nan	nan	0.75	0.736842105263158	nan	nan	nan	nan	nan	1.0	0.7058823529411764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	2	17	84	263	70	0	0	0	0	0	417	0	205	59	147	6
Angesicht	1.0446428571428572	0.6761904761904762	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.6761904761904762	nan	nan	nan	nan	nan	0.6761904761904762	nan	nan	nan	nan	nan	0.6761904761904762	nan	nan	nan	nan	nan	nan	nan	nan	0.7367091062500173	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.7367091062500173	nan	nan	nan	nan	nan	nan	nan	0.8783100656536799	0.8783100656536799	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.8783100656536799	nan	nan	nan	nan	nan	0.8783100656536799	nan	nan	nan	nan	nan	0.8783100656536799	nan	nan	nan	nan	nan	nan	nan	nan	0.5555555555555556	0.5555555555555556	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5555555555555556	nan	nan	nan	nan	nan	0.5555555555555556	nan	nan	nan	nan	nan	0.5555555555555556	nan	nan	nan	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	159	75	0	0	0	0	0	234	3	109	47	49	26
Angriffswaffe	1.0865139949109415	0.13764510779436157	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.2733333333333333	nan	nan	nan	nan	nan	0.18649242235752117	nan	nan	nan	nan	nan	0.3833333333333333	-0.07407407407407418	nan	nan	nan	nan	nan	-0.5	-0.021008403361344685	0.4604737357494375	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.6509970867699533	nan	nan	nan	nan	nan	0.12249308592285568	0.2951499675212569	0.43319705145831283	0.4423310626599454	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.25434031378314964	nan	nan	nan	nan	nan	0.31397645342802494	nan	nan	nan	nan	nan	0.3820465887291705	0.49099025303098287	nan	nan	nan	nan	nan	nan	0.5026155365907202	0.5142857142857142	0.34711779448621555	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.6842105263157895	0.33333333333333337	nan	nan	nan	nan	nan	0.0	0.3571428571428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	2	14	67	265	95	0	0	0	0	0	427	0	17	229	160	21
anpflanzen	1.1811965811965812	0.5941366655712993	0.6295974672094076	0.38200729927007304	0.25	0.6073701410388717	nan	nan	0.6609316267208141	nan	0.5565068493150684	-0.5	nan	nan	nan	nan	nan	0.4062499999999999	nan	nan	nan	nan	nan	0.5897387777600713	0.5851525636992765	0.31554588607594924	0.5851525636992765	0.6018803418803419	nan	0.606060606060606	0.8211580654392827	0.0	0.8333333333333333	nan	0.7727272727272727	nan	0.0	1.0	0.6100505476982221	0.35981783566284053	nan	1.0	1.0	0.6764456346388623	0.12249308592285568	nan	nan	nan	nan	1.0	1.0	nan	1.0	nan	0.6441503191951629	0.18852675490838955	0.6441503191951629	0.667531163250378	nan	0.707298989190842	0.4102774080171523	0.8577372968139646	nan	0.7358417641436026	nan	0.1776802463502477	1.0	0.6936504234501992	0.7514222655261888	0.6855326260692216	0.5213133386766442	nan	0.697277051246695	nan	nan	0.6587285016368866	nan	0.7745966692414834	nan	nan	nan	nan	nan	nan	0.5091750772173156	nan	nan	nan	nan	nan	0.6277623149761399	0.6964257450311208	0.4939227194882292	0.6964257450311208	0.5899068827914041	nan	0.6454972243679028	0.8291594688026502	nan	0.9999999999999999	nan	0.8660254037844387	nan	nan	1.0	0.5999999999999999	0.6207607207607208	0.6666666666666667	nan	0.0	0.5833333333333333	nan	1.0	nan	1.0	0.5	0.0	nan	nan	nan	nan	nan	0.8	1.0	1.0	nan	1.0	nan	nan	0.5454545454545454	0.19999999999999996	0.5454545454545454	0.6923076923076923	nan	0.8571428571428572	nan	0.5	0.5	nan	0.33333333333333337	nan	0.5	1.0	2	0	1	1	4	2	0	0	0	0	1	1	0	1	0	11	20	11	26	0	7	2	2	0	3	0	2	18	56	417	21	0	73	34	60	30	691	18	146	73	434	20
Arbeitsbedingung	1.0295566502463054	-0.006462585034013646	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-0.006462585034013646	nan	nan	nan	nan	nan	-0.006462585034013646	nan	nan	nan	nan	nan	-0.006462585034013646	nan	nan	nan	nan	nan	nan	nan	nan	0.2858717040582428	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.2858717040582428	nan	nan	nan	nan	nan	nan	nan	-0.11180339887498951	-0.11180339887498951	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-0.1118033988749895	nan	nan	nan	nan	nan	-0.11180339887498951	nan	nan	nan	nan	nan	-0.11180339887498951	nan	nan	nan	nan	nan	nan	nan	nan	0.33333333333333337	0.33333333333333337	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.33333333333333337	nan	nan	nan	nan	nan	0.33333333333333337	nan	nan	nan	nan	nan	0.33333333333333337	nan	nan	nan	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	153	56	0	0	0	0	0	209	0	9	62	131	7
Aufkommen	1.1082474226804124	0.6240241718277895	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.6221428571428571	nan	nan	nan	nan	0.6264297385620915	nan	nan	nan	nan	nan	0.5366671721767262	nan	nan	nan	nan	0.4541652726664437	0.5907692307692307	0.7054655870445344	nan	nan	nan	nan	0.9	0.5853174603174602	0.5614481409001957	0.4969273765023313	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan	0.3905354620415876	0.32965006326657653	nan	nan	nan	nan	0.9146296158275183	0.67277382723009	0.25681573761911003	0.7823213813680998	0.7638245634042936	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.6182840223353119	nan	nan	nan	nan	0.7242056079381052	nan	nan	nan	nan	nan	0.7681315150607766	nan	nan	nan	nan	0.4733646312031287	0.7485114296183862	0.8000605966572527	nan	nan	nan	nan	0.9428090415820635	0.7071067811865475	0.9473309334313419	0.42857142857142855	0.5376984126984127	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	0.4375	nan	nan	nan	nan	1.0	0.3666666666666667	nan	nan	nan	nan	0.2857142857142857	0.5	0.3913043478260869	nan	nan	nan	nan	0.75	0.33333333333333337	0.3571428571428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	10	0	0	0	0	4	6	14	70	232	51	77	0	0	0	0	430	137	89	52	145	7
Aufrichtung	1.0818181818181818	0.654614121068505	1.0	0.4553875638841567	nan	0.125	nan	nan	0.7441109753969639	nan	0.6921052631578948	0.16666666666666663	nan	nan	nan	nan	nan	0.6505102040816326	nan	-0.41666666666666696	nan	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.6758522066768293	1.0	nan	nan	nan	0.6762216262391046	0.4889056904436825	nan	nan	nan	nan	1.0	-0.03548354465610082	1.0	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.7740704857031664	0.7676516895156554	0.9999999999999999	0.6344978479284821	nan	0.3333333333333333	nan	nan	0.7441862925386246	nan	0.8029550685469662	0.5000000000000001	nan	nan	nan	nan	nan	0.724568837309472	nan	nan	nan	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	0.6476190476190476	1.0	0.25	1.0	0.5	nan	nan	0.4545454545454546	nan	0.19999999999999996	0.33333333333333337	nan	nan	nan	nan	nan	0.7142857142857143	1.0	0.0	1.0	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1	0	0	0	5	3	0	0	0	0	1	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	87	24	65	21	238	38	76	45	74	5
